,pc1,pc2,pc3,pc4,pc5,Class
0,27494.666256812743,-4268.93194587395,-63519.06381820758,-6886.197079549348,11551.319600420084,disease
1,-57539.16570277656,4757.688254445403,-67092.89870157847,-8052.204482194314,39217.97601161738,disease
2,-85672.79139933712,104415.05337476931,-26104.27093893147,-16393.59613509509,7713.931464328824,disease
3,-53732.40516463552,22974.106035203204,-9967.306192403006,126153.35560034709,-36157.559444601895,disease
4,48946.57597815341,10084.126039652137,-55629.12064086197,-65545.82750941071,-22248.58362814052,disease
5,-60939.01254712282,66761.91682631125,-33938.9417209497,-40452.811597931606,43508.83706652939,disease
6,33735.716804385134,112565.20959256744,-26338.58343592637,-18871.544753268507,-13373.635400342064,disease
7,-20220.826434550007,-14604.008867124041,56183.17433861075,-87467.58914039384,10544.063223051173,disease
8,-21137.276182101035,-99100.54507035611,141038.15196423442,34567.19597914979,72501.50807621457,disease
9,182004.95315224194,34307.35301375196,62527.33285926058,-69294.02008730917,36740.213137346866,disease
10,-131649.7524053739,22250.750707388743,-25773.958396000384,-6958.920473676925,-27010.63546562331,disease
11,-65047.805961722384,180129.41688873444,-3238.592041874892,-47170.01703361551,-479.1155330867909,disease
12,-42597.65126385313,64948.33121772884,-5287.083064170857,46905.56714718995,-2961.026601971416,disease
13,86364.69330916244,-72102.51353724688,-42826.38723071248,8385.585774874355,-73158.48448205508,disease
14,-72772.20213346231,50787.88946025638,-16012.031941733829,37946.23725932588,97892.48163811861,disease
15,-71976.20185804306,3852.6579415899655,2217.2847006843517,103028.02569503983,4307.602002716307,disease
16,-53044.7606959152,81604.34011780996,-16091.17489842655,-33036.646777325535,-25632.437029172615,disease
17,-93996.88476639245,-64423.665807795835,-12774.216141652134,51084.76799167693,82640.652507125,disease
18,103927.86796756956,16474.676236718802,-49935.76803941187,58360.701575232386,13265.919749106002,disease
19,9451.537864346548,114114.10246252318,-29985.873682156962,22147.470275034953,59882.14337856076,disease
20,188794.87680003632,138904.6230436951,-61594.88204313557,24236.26126802399,-18402.956234842433,disease
21,-153210.13909340597,145436.44382964785,100347.98884276932,-69266.93554690099,-24831.178931770697,disease
22,-70998.79075914838,272968.79434308544,145172.85650437966,88135.66613382213,-45991.900780640186,disease
23,82276.02299038446,-131000.30350914475,132257.41890893094,51184.37102150312,29014.413935449906,disease
24,124636.9566080074,367172.44279286015,21808.02826162365,72233.70234120148,-32412.057500608204,disease
25,-19604.402372635497,19975.67416161161,-33503.478209101246,-28581.449060834824,-5665.713228541278,disease
26,-108041.60865040577,-80146.99323008845,-424.3180215257483,74785.0850210735,-1709.5214411836841,disease
27,12788.03401815799,5042.074666448407,-64375.23136810272,-15148.396392872546,12872.455129724189,disease
28,-44188.70493947768,17662.45691736767,-39443.44397534934,-48347.492104444245,165010.41010657395,disease
29,-51486.37680838469,18509.411015964764,-40347.19573277524,10434.182703509045,-29318.574853096492,disease
30,37896.880300211145,36977.03290479292,9293.924997557317,107849.27321585194,-17258.644138474185,disease
31,161326.45634046316,-43877.27850326763,-30829.680907274473,-7354.660415791845,41380.29066198542,disease
32,134404.40868768116,611.4906106485039,-77571.75376005317,-20654.05057710395,-78387.95451596387,disease
33,153488.41192370272,-91425.68031319969,52390.111917422044,4660.538117113482,-7006.44290844344,disease
34,-55603.943631632195,-61190.72555522278,101827.526829202,44734.61457872209,-45248.521796242785,disease
35,17974.49008596342,-6417.254542446614,164572.23075793704,-52906.37957810768,-33701.625284067384,disease
36,70077.5529367831,268805.66545577184,76129.73856786087,43941.8517752161,65010.77662949033,disease
37,19393.609583764046,-47634.72833050019,97600.41196540318,-15015.993973503415,32769.90055641021,disease
38,78658.90815607726,-19113.804855298058,86017.31510551345,-74130.2659238924,27745.487878766067,disease
39,-47810.41236574374,-13794.744094967833,121890.12942971007,-97476.33901596496,3694.4914958755353,disease
40,201739.75405030965,-44161.418949432016,110078.13450018557,25206.62637082236,-113496.00749282785,disease
41,-60341.91410602647,-60565.2889388989,-72856.81974226257,-36719.38629258275,-14253.177919025737,control
42,-43427.187774546845,-71210.92675259542,-70128.21524738519,-26810.9403790168,-6633.48112280948,control
43,-149.85258486733636,-34393.67628971091,-41729.98497679038,-9357.336106396198,-56020.76485152839,control
44,-85320.15039050527,-29100.281307596662,-66099.09015877976,-86068.44309252247,-47227.75887041696,control
45,-44830.27287876847,10638.436932875673,-50496.63998620007,-2756.3320843240344,35720.73961095518,control
46,101605.10709064158,-56281.91687831314,101302.9263951302,-21136.637803048707,-62141.945827098585,control
47,50597.81107040696,-36951.17910938489,122176.77044072447,-9930.459249519698,-40731.585770284015,control
48,-174717.2923430365,-46950.962352081224,212521.5004357709,-46505.17641437134,-67536.6582721757,control
49,-5864.165344922558,7591.2638962013925,114531.33977796686,-20466.409038576094,18511.429539929275,control
50,-37843.65213224774,-23291.534154237987,118014.80158042758,-54630.35821568198,33428.77956140045,control
51,-67258.24272682298,-10365.931500047807,-51983.48272053659,-60286.466962100814,6830.24233653604,control
52,-21891.900188795746,-70806.06158379624,-38530.37581908735,-4603.087264175464,-42727.13780085155,control
53,-47266.909927416316,10226.376477253863,-23934.09687037241,38296.43330066264,-70115.34329136557,control
54,-118273.55471499756,86897.51525225482,-48878.218822601964,-99569.69688908945,48663.08254652126,control
55,-15457.462188458976,-27538.449185259597,-8458.212932906692,46832.33475592353,-12358.061504490635,control
56,14040.845959904591,-69801.31359922368,-72088.78079638517,-2434.3979010759754,-39047.849472065245,control
57,-66856.5897231802,-40857.97650628044,-41053.921047469055,39710.40351089616,-81793.62443620779,control
58,-37866.08125204989,-85772.05050142936,-8775.645779403976,138610.30359643846,-57742.89067173548,control
59,-8390.1601233792,-58270.85200221174,-42616.31995204572,4385.038929799931,45724.48224785271,control
60,211970.82366193386,-81887.88812538832,-67818.05001660842,-2191.469730099974,11031.63418892469,control
61,18249.86742713651,33711.774197367835,-70512.86554547629,33677.605627971316,-8832.46946879906,control
62,-55347.4934073246,-14949.585974102267,-52865.918791698496,29394.87475858402,-44229.97724289242,control
63,-44877.802740661726,-174332.76621097408,121626.92153864694,156885.97355168586,124334.46130284351,control
64,159601.103634181,-74102.74280559017,25658.17877089173,-75280.7669648529,24893.759960646876,control
65,-206710.34012708615,-38062.98127447951,-17471.303275141643,-6217.039485251249,-40770.301814267455,control
66,18961.747375318017,89772.79125794003,-31559.206047716536,8833.986667871335,26739.892686284118,control
67,-13417.037766094782,-40275.440506414685,-23957.686248083948,12035.786917056075,-93890.14351692847,control
68,-155068.71863555425,-49656.539185496724,-18208.345729111796,-21075.647751552726,-19218.862086649795,control
69,67857.88751286396,-64429.82104797819,-47800.19876349332,-27951.698267462918,-2157.6573475272317,control
70,25016.867814227622,6662.755152311887,-85634.0297180902,-35925.08517111338,-25130.699281954683,control
71,54633.85130800499,6291.665496703093,-68120.35578148597,-37787.919928567135,-4863.1657351091735,control
72,-23074.161729892025,-59038.99395356873,-60211.81872772451,18570.721413916883,-14733.615086450794,control
73,-61558.654231059845,-88032.58107474417,-73369.66797058862,47246.691438605296,-10305.487142347016,control
74,1714.278183387484,-53740.483425354694,-83778.75366791204,-29712.90179359095,36228.74490647555,control
75,-20380.91447911778,9881.393539815832,-90482.82956769412,-51679.585891828465,-34834.61299203008,control
76,20587.25655064635,3365.5128635465203,-42027.69968311368,51169.594673410764,121375.87126533012,control
77,-17470.617355460516,-59355.57526420073,-79921.51412923419,-35748.47985557182,34364.91360475504,control
78,146300.8987009481,33375.903603394334,-47005.955514447785,16279.78860748905,41837.03093682415,control
79,75010.07419500506,-77012.42463282151,-55691.99353700756,63305.5373390164,32143.096066263304,control
80,112922.71662000804,-33203.63769424344,99164.30865554097,-76475.2613396394,8757.452558403695,control
81,-39521.266910433565,-57006.65763262067,90324.74442278812,-30883.833402857075,43899.36064735084,control
